Date,Open,High,Low,Close,Adj Close,Volume
2019-08-07,7171.700195,7237.899902,7153.899902,7198.700195,7198.700195,735519300
2019-08-08,7198.700195,7285.899902,7191.299805,7285.899902,7285.899902,726060600
2019-08-09,7285.899902,7297.299805,7237.100098,7253.899902,7253.899902,794807200
2019-08-12,7253.899902,7305.600098,7207.500000,7226.700195,7226.700195,585461200
2019-08-13,7226.700195,7281.100098,7166.899902,7250.899902,7250.899902,698409600
2019-08-14,7250.899902,7268.700195,7112.100098,7147.899902,7147.899902,811517700
2019-08-15,7147.899902,7148.799805,7020.200195,7067.000000,7067.000000,877816600
2019-08-16,7067.000000,7125.899902,7067.000000,7117.200195,7117.200195,651943200
2019-08-19,7117.200195,7214.200195,7117.200195,7189.700195,7189.700195,612867100
2019-08-20,7189.700195,7231.700195,7121.200195,7125.000000,7125.000000,766076800
2019-08-21,7125.000000,7215.500000,7122.100098,7204.000000,7204.000000,605372900
2019-08-22,7204.000000,7204.000000,7103.700195,7128.200195,7128.200195,653343400
2019-08-23,7128.200195,7188.600098,7095.000000,7095.000000,7095.000000,643009300
2019-08-27,7095.000000,7110.799805,7044.700195,7089.600098,7089.600098,851399100
2019-08-28,7089.600098,7131.200195,7050.000000,7114.700195,7114.700195,675638900
2019-08-29,7114.700195,7199.200195,7103.100098,7184.299805,7184.299805,635681800
2019-08-30,7184.299805,7240.399902,7179.700195,7207.200195,7207.200195,727868800
2019-09-02,7207.200195,7315.299805,7206.899902,7281.899902,7281.899902,497764900
2019-09-03,7281.899902,7301.500000,7239.100098,7268.200195,7268.200195,626095300
2019-09-04,7268.200195,7334.600098,7268.200195,7311.299805,7311.299805,677444300
2019-09-05,7311.299805,7330.700195,7250.600098,7271.200195,7271.200195,711302800
2019-09-06,7271.200195,7284.100098,7244.100098,7282.299805,7282.299805,692287900
2019-09-09,7282.299805,7325.200195,7206.000000,7235.799805,7235.799805,794831900
2019-09-10,7235.799805,7270.500000,7199.399902,7268.000000,7268.000000,1031549500
2019-09-11,7268.000000,7346.700195,7268.000000,7338.000000,7338.000000,829121400
2019-09-12,7338.000000,7369.299805,7303.200195,7344.700195,7344.700195,725259800
2019-09-13,7344.700195,7380.299805,7318.200195,7367.500000,7367.500000,1003827600
2019-09-16,7367.500000,7378.299805,7321.399902,7321.399902,7321.399902,908260500
2019-09-17,7321.399902,7350.200195,7292.200195,7320.399902,7320.399902,698421800
2019-09-18,7320.399902,7350.500000,7300.399902,7314.100098,7314.100098,642716000
2019-09-19,7314.100098,7373.100098,7290.700195,7356.399902,7356.399902,632737400
2019-09-20,7356.399902,7376.299805,7322.000000,7344.899902,7344.899902,1656288000
2019-09-23,7344.899902,7362.299805,7284.799805,7326.100098,7326.100098,489660300
2019-09-24,7326.100098,7349.000000,7281.899902,7291.399902,7291.399902,588772200
2019-09-25,7291.399902,7292.000000,7213.000000,7290.000000,7290.000000,704553100
2019-09-26,7290.000000,7387.100098,7277.200195,7351.100098,7351.100098,704707500
2019-09-27,7351.100098,7440.799805,7351.000000,7426.200195,7426.200195,584318800
2019-09-30,7426.200195,7439.600098,7402.200195,7408.200195,7408.200195,655556100
2019-10-01,7408.200195,7433.200195,7352.799805,7360.299805,7360.299805,734563400
2019-10-02,7360.299805,7360.299805,7119.700195,7122.500000,7122.500000,747799600
2019-10-03,7122.500000,7129.000000,7004.399902,7077.600098,7077.600098,635551800
2019-10-04,7077.600098,7157.799805,7077.399902,7155.399902,7155.399902,588776100
2019-10-07,7155.399902,7206.899902,7133.000000,7197.899902,7197.899902,551391300
2019-10-08,7197.899902,7223.899902,7143.200195,7143.200195,7143.200195,692866200
2019-10-09,7143.200195,7196.399902,7139.899902,7166.500000,7166.500000,582025200
2019-10-10,7166.500000,7212.899902,7130.500000,7186.399902,7186.399902,700021400
2019-10-11,7186.399902,7250.100098,7144.700195,7247.100098,7247.100098,1507692000
2019-10-14,7247.100098,7251.799805,7194.200195,7213.500000,7213.500000,780579200
2019-10-15,7213.500000,7242.399902,7176.700195,7211.600098,7211.600098,1123687400
2019-10-16,7211.600098,7217.600098,7149.799805,7168.000000,7168.000000,1000484300
2019-10-17,7168.000000,7237.799805,7162.000000,7182.299805,7182.299805,1126096700
2019-10-18,7182.299805,7197.100098,7146.100098,7150.600098,7150.600098,869346100
2019-10-21,7150.600098,7197.500000,7139.399902,7163.600098,7163.600098,853632700
2019-10-22,7163.600098,7230.200195,7146.700195,7212.500000,7212.500000,800741400
2019-10-23,7212.500000,7265.899902,7194.100098,7260.700195,7260.700195,764933300
2019-10-24,7260.700195,7338.899902,7255.500000,7328.299805,7328.299805,733646100
2019-10-25,7328.299805,7331.200195,7279.799805,7324.500000,7324.500000,580305100
